id,Property Name,Address,Location,Phone Number,Agent Name,Email,Availability,Property Type,Price,Bed,Bath ,Area,Pool,3D View,Furnished
1,Holiday Inn Express-Tacoma,"9079 Bowman Ave.,Waltham, MA 02453",Massachusetts,(871) 930-5361,Ireland Shepard,sacraver@hotmail.com,Active,Buy,3.5M,3,2,750sqm,Yes,No,No
2,J A Ventures Llc,"674 Wrangler Drive,Oshkosh, WI 54901",Wisconsin,(899) 644-0752,Wyatt Barr,stakasa@hotmail.com,Active,Buy,4.5M,4,3,850sqm,No,No,Yes
3,Captain's Quarters,"319 Laurel Drive,Parlin, NJ 08859",New Jersey,(578) 921-3808,Natalia Hull,gward@yahoo.ca,Active,Rent,2.5M,6,3,950sqm,Yes,No,No
4,Pinehurst Motel & Cottages,"367 Rosewood St.,Oswego, NY 13126",New York,(403) 646-7356,Willow Hester,jdhildeb@icloud.com,Active,Buy,3M,2,1,650sqm,No,No,Yes
5,Ocean Haven,"4 Arch Road,Hartsville, SC 29550",South Carolina,(993) 449-2924,Mariam Valentine,smeier@mac.com,Active,Buy,2M,5,3,900sqm,Yes,No,No
6,Fixxxation,"8276 Penn Court,Willingboro, NJ 08046",New Jersey,(695) 573-1549,Sidney Fitzpatrick,tromey@aol.com,Active,Rent,4M,3,2,750sqm,No,No,Yes
7,The Summit Group,"8050 East Harrison Court,Forney, TX 75126",Texas,(285) 996-7112,Jaden Compton,naoya@yahoo.ca,Active,Buy,3.5M,4,3,850sqm,Yes,No,No
8,Silver King Inn & Suites,"7777 Brickyard St.,Livingston, NJ 07039",New Jersey,(829) 265-0941,Jakayla Munoz,nullchar@yahoo.com,Active,Buy,4.5M,6,3,950sqm,No,No,Yes
9,Salisbury House,"488 Lake Drive,Glastonbury, CT 06033",Connecticut,(699) 979-8461,Lawson Herrera,mwandel@gmail.com,Active,Buy,2.5M,2,1,650sqm,Yes,No,No
10,Kameron Chao,"71 Whitemarsh Drive,Dorchester, MA 02125",Massachusetts,(555) 885-8329,Deshawn Everett,garland@hotmail.com,Active,Rent,3M,5,3,900sqm,No,No,Yes
